payment_value,payment_installments,price,freight_value,item_count,delivery_delay_days,review_score,product_category_name_english,high_risk
38.71,1.0,29.99,8.72,1.0,-8.0,4.0,housewares,0
141.46,1.0,118.7,22.76,1.0,-6.0,4.0,perfumery,0
179.12,3.0,159.9,19.22,1.0,-18.0,5.0,auto,0
72.2,1.0,45.0,27.2,1.0,-13.0,5.0,pet_shop,0
28.62,1.0,19.9,8.72,1.0,-10.0,5.0,stationery,0
175.26,6.0,147.9,27.36,1.0,-6.0,4.0,auto,0
65.95,1.0,49.9,16.05,1.0,0.0,2.0,0,1
75.16,3.0,59.99,15.17,1.0,-12.0,5.0,auto,0
35.95,1.0,19.9,16.05,1.0,-32.0,1.0,furniture_decor,1
169.76,1.0,149.99,19.77,1.0,-7.0,5.0,office_furniture,0
259.06,1.0,198.0,61.06,2.0,-9.0,1.0,garden_tools,1
114.13,1.0,98.0,16.13,1.0,-20.0,4.0,computers_accessories,0
50.13,1.0,31.9,18.23,1.0,-29.0,5.0,perfumery,0
32.7,3.0,19.9,12.8,1.0,-9.0,5.0,bed_bath_table,0
54.36,1.0,38.25,16.11,1.0,-9.0,4.0,toys,0
146.45,10.0,132.4,14.05,1.0,-13.0,5.0,perfumery,0
1376.45,10.0,1299.0,77.45,1.0,-17.0,0.0,construction_tools_construction,0
43.09,4.0,27.99,15.1,1.0,-21.0,5.0,telephony,0
29.75,1.0,17.9,11.85,1.0,-14.0,5.0,bed_bath_table,0
92.97,1.0,76.0,16.97,1.0,-15.0,4.0,telephony,0
118.86,1.0,109.9,8.96,1.0,11.0,2.0,health_beauty,1
88.9,4.0,79.99,8.91,1.0,-10.0,5.0,health_beauty,0
17.28,1.0,9.5,7.78,1.0,-13.0,3.0,electronics,0
187.57,3.0,129.99,57.58,1.0,-26.0,4.0,baby,0
104.11,1.0,89.9,14.21,1.0,-4.0,5.0,stationery,0
125.43,1.0,109.9,15.53,1.0,9.0,2.0,cool_stuff,1
227.68,10.0,130.4,97.28,2.0,-32.0,1.0,baby,1
60.69,2.0,47.9,12.79,1.0,-7.0,5.0,perfumery,0
192.68,8.0,178.99,13.69,1.0,-7.0,4.0,watches_gifts,0
63.34,3.0,30.1,33.24,1.0,-17.0,4.0,garden_tools,0
313.19,1.0,279.0,34.19,1.0,-5.0,2.0,baby,1
224.9,4.0,186.9,38.0,1.0,-10.0,1.0,air_conditioning,1
63.1,1.0,49.0,14.1,1.0,-5.0,4.0,furniture_decor,0
100.25,1.0,84.9,15.35,1.0,-13.0,5.0,toys,0
188.41,2.0,179.0,9.41,1.0,-6.0,5.0,perfumery,0
106.95,4.0,78.0,28.95,1.0,0.0,5.0,garden_tools,0
66.79,1.0,39.9,26.89,1.0,-16.0,4.0,electronics,0
43.0,1.0,27.9,15.1,1.0,-14.0,5.0,computers_accessories,0
508.17,1.0,445.0,63.17,1.0,-29.0,5.0,health_beauty,0
